vehicle,colour,passingDistance,street,helmet,kerb,bikelane,City,dateandtime,perceivedDistance
ordinary car,blue,2.114,regular urban street,0,0.5,0,Salisbury,11-May-2017 16:30:00,1.90847976663776
HGV,red,0.998,regular urban street,0,0.5,0,Salisbury,11-May-2017 16:30:00,1.25101694675821
LGV/minibus,blue,1.817,regular urban street,0,0.5,0,Salisbury,11-May-2017 16:30:00,2.06412796283355
ordinary car,unknown,1.64,regular urban street,0,0.5,0,Salisbury,11-May-2017 16:30:00,1.76910081046653
bus,other,1.544,regular urban street,0,0.5,0,Salisbury,11-May-2017 16:30:00,1.90811776871804
ordinary car,silver/grey,1.509,regular urban street,0,0.5,0,Salisbury,11-May-2017 16:30:00,1.58809658219408
LGV/minibus,white,1.29,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,1.01068446210368
ordinary car,red,1.512,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,1.27355019110639
bus,red,1.049,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,0.955666827132291
PTW,unknown,1.932,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,1.56658193936147
LGV/minibus,white,1.145,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,0.853948875187142
SUV/pickup,white,1.41,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,1.39054230394624
ordinary car,blue,1.428,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,1.34402331736862
ordinary car,blue,1.494,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,1.56050453143167
ordinary car,blue,1.57,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,1.69785555316004
LGV/minibus,white,2.103,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,2.00812449992799
ordinary car,red,0.896,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,0.852059590723267
LGV/minibus,white,1.16,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,0.85355792884833
ordinary car,silver/grey,1.29,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,1.34093990739447
ordinary car,white,1.963,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,2.35786902547501
ordinary car,silver/grey,2.436,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,2.51044433761405
ordinary car,red,2.304,main road (regular),1,1,0,Salisbury,12-May-2017 07:46:00,2.5198158155399
ordinary car,black,1.482,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.39883041450968
LGV/minibus,white,1.492,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.32780775432519
ordinary car,blue,1.432,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.65165503159872
ordinary car,green,1.504,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.47550394456769
PTW,unknown,1.046,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,0.925180464933261
ordinary car,red,1.306,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.06528634194014
taxi,silver/grey,1.15,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.04965909118847
ordinary car,blue,1.43,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.77601947198503
LGV/minibus,white,1.569,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.84599271275267
ordinary car,silver/grey,1.796,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.93068528451004
ordinary car,black,1.51,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.74327179047057
LGV/minibus,white,1.493,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.28034477834948
ordinary car,blue,1.261,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.70598886188685
PTW,unknown,1.363,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.69552947984137
ordinary car,red,1.242,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,0.958249946226994
ordinary car,silver/grey,1.105,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.19574028448311
SUV/pickup,silver/grey,1.548,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.33458125747295
LGV/minibus,white,1.178,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.29726292381598
LGV/minibus,white,1.742,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.62996181687932
LGV/minibus,red,1.87,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,2.14000907132065
HGV,white,1.134,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,1.26216550777899
HGV,green,0.794,main road (regular),1,1,0,Salisbury,12-May-2017 07:52:00,0.76702332619057
HGV,other,1.016,main road (regular),1,1,0,Salisbury,12-May-2017 08:02:00,0.949706313759914
LGV/minibus,blue,0.973,main road (regular),1,1,0,Salisbury,12-May-2017 08:02:00,0.943391664851039
